file,left_eye,right_eye,mouth
00000.png,"(282, 193)(360, 271)","(138, 174)(238, 274)","(186, 343)(314, 407)",
01026.png,"(276, 181)(370, 275)","(147, 186)(232, 271)","(188, 330)(329, 400)",
01027.png,"(284, 195)(354, 265)","(159, 184)(242, 267)","(194, 285)(345, 360)",
01028.png,"(286, 191)(363, 268)","(152, 186)(233, 267)","(185, 336)(340, 414)",
01029.png,"(286, 186)(367, 267)","(139, 178)(236, 275)","(186, 357)(329, 428)",
01030.png,"(260, 192)(353, 285)","(159, 194)(232, 267)","(210, 329)(315, 382)",
01031.png,"(281, 184)(367, 270)","(148, 184)(235, 271)","(177, 334)(326, 409)",
01032.png,"(284, 188)(367, 271)","(150, 189)(230, 269)","(167, 322)(339, 408)",
01033.png,"(286, 190)(359, 263)","(150, 185)(234, 269)","(186, 358)(319, 424)",
01034.png,"(185, 344)(328, 415)",
01035.png,"(287, 194)(358, 265)","(147, 185)(231, 269)","(186, 356)(331, 428)",
01036.png,
01037.png,"(299, 195)(368, 264)","(151, 196)(219, 264)","(195, 351)(318, 412)",
01038.png,"(288, 196)(360, 268)","(201, 360)(334, 427)",
01039.png,"(290, 202)(350, 262)","(154, 185)(233, 264)","(195, 364)(297, 415)",
